INSERT INTO BUSSCHEDULE VALUES ('SE0001', 'R004', 'D009', 'FBG6123', TO_DATE('01-JAN-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('22:46', 'HH24:MI'), 'ON TIME', 22);
INSERT INTO BUSSCHEDULE VALUES ('SE0029', 'R009', 'D016', 'AOI9521', TO_DATE('14-JAN-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('13:28', 'HH24:MI'), 'DELAYED', 24);
INSERT INTO BUSSCHEDULE VALUES ('SE0030', 'R005', 'D026', 'BCN4749', TO_DATE('14-JAN-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('19:10', 'HH24:MI'), 'ON TIME', 17);
INSERT INTO BUSSCHEDULE VALUES ('SE0031', 'R006', 'D040', 'MKE1591', TO_DATE('15-JAN-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('14:17', 'HH24:MI'), 'ON TIME', 30);
INSERT INTO BUSSCHEDULE VALUES ('SE0032', 'R005', 'D028', 'FCG2912', TO_DATE('16-JAN-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('10:23', 'HH24:MI'), 'ON TIME', 28);
INSERT INTO BUSSCHEDULE VALUES ('SE0033', 'R006', 'D007', 'EAK2589', TO_DATE('16-JAN-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('12:48', 'HH24:MI'), 'ON TIME', 27);
INSERT INTO BUSSCHEDULE VALUES ('SE0034', 'R007', 'D013', 'FGD4177', TO_DATE('16-JAN-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('14:35', 'HH24:MI'), 'ON TIME', 28);
INSERT INTO BUSSCHEDULE VALUES ('SE0035', 'R003', 'D009', 'LOG2731', TO_DATE('16-JAN-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('14:46', 'HH24:MI'), 'ON TIME', 38);
INSERT INTO BUSSCHEDULE VALUES ('SE0036', 'R007', 'D030', 'CIH6968', TO_DATE('18-JAN-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('15:59', 'HH24:MI'), 'ON TIME', 21);
INSERT INTO BUSSCHEDULE VALUES ('SE0037', 'R004', 'D022', 'HBD9947', TO_DATE('18-JAN-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('18:11', 'HH24:MI'), 'ON TIME', 25);
INSERT INTO BUSSCHEDULE VALUES ('SE0038', 'R008', 'D020', 'CJF1753', TO_DATE('19-JAN-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('19:36', 'HH24:MI'), 'ON TIME', 19);
INSERT INTO BUSSCHEDULE VALUES ('SE0039', 'R001', 'D014', 'GIH5437', TO_DATE('20-JAN-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('18:21', 'HH24:MI'), 'ON TIME', 25);
INSERT INTO BUSSCHEDULE VALUES ('SE0040', 'R009', 'D030', 'GIH5437', TO_DATE('22-JAN-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('18:25', 'HH24:MI'), 'ON TIME', 27);
INSERT INTO BUSSCHEDULE VALUES ('SE0041', 'R006', 'D002', 'LHI8711', TO_DATE('22-JAN-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('20:26', 'HH24:MI'), 'ON TIME', 25);
INSERT INTO BUSSCHEDULE VALUES ('SE0042', 'R007', 'D033', 'JKE9495', TO_DATE('22-JAN-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('20:28', 'HH24:MI'), 'DELAYED', 21);
INSERT INTO BUSSCHEDULE VALUES ('SE0043', 'R004', 'D017', 'HLL5666', TO_DATE('22-JAN-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('22:53', 'HH24:MI'), 'ON TIME', 40);
INSERT INTO BUSSCHEDULE VALUES ('SE0044', 'R009', 'D019', 'MKE1591', TO_DATE('23-JAN-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('15:17', 'HH24:MI'), 'ON TIME', 37);
INSERT INTO BUSSCHEDULE VALUES ('SE0045', 'R001', 'D034', 'AOI9521', TO_DATE('23-JAN-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('17:58', 'HH24:MI'), 'ON TIME', 21);
INSERT INTO BUSSCHEDULE VALUES ('SE0046', 'R004', 'D026', 'KLM1684', TO_DATE('23-JAN-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('22:34', 'HH24:MI'), 'ON TIME', 12);
INSERT INTO BUSSCHEDULE VALUES ('SE0047', 'R005', 'D028', 'LHI8711', TO_DATE('23-JAN-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('22:55', 'HH24:MI'), 'ON TIME', 18);
INSERT INTO BUSSCHEDULE VALUES ('SE0048', 'R003', 'D019', 'IDO7977', TO_DATE('24-JAN-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('21:28', 'HH24:MI'), 'ON TIME', 16);
INSERT INTO BUSSCHEDULE VALUES ('SE0049', 'R002', 'D037', 'AOI9521', TO_DATE('24-JAN-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('21:49', 'HH24:MI'), 'ON TIME', 20);
INSERT INTO BUSSCHEDULE VALUES ('SE0050', 'R010', 'D002', 'KOE8352', TO_DATE('24-JAN-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('21:52', 'HH24:MI'), 'ON TIME', 25);
INSERT INTO BUSSCHEDULE VALUES ('SE0051', 'R002', 'D031', 'ILD8716', TO_DATE('25-JAN-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('10:31', 'HH24:MI'), 'ON TIME', 34);
INSERT INTO BUSSCHEDULE VALUES ('SE0052', 'R003', 'D034', 'JLG8441', TO_DATE('25-JAN-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('21:29', 'HH24:MI'), 'DELAYED', 12);
INSERT INTO BUSSCHEDULE VALUES ('SE0053', 'R010', 'D001', 'MKE1591', TO_DATE('25-JAN-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('21:45', 'HH24:MI'), 'DELAYED', 32);
INSERT INTO BUSSCHEDULE VALUES ('SE0054', 'R005', 'D016', 'HNF8387', TO_DATE('25-JAN-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('22:38', 'HH24:MI'), 'ON TIME', 28);
INSERT INTO BUSSCHEDULE VALUES ('SE0055', 'R001', 'D001', 'KLM1684', TO_DATE('26-JAN-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('19:33', 'HH24:MI'), 'ON TIME', 15);
INSERT INTO BUSSCHEDULE VALUES ('SE0056', 'R009', 'D004', 'HLL5666', TO_DATE('28-JAN-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('18:59', 'HH24:MI'), 'ON TIME', 34);
INSERT INTO BUSSCHEDULE VALUES ('SE0057', 'R003', 'D030', 'CGI2532', TO_DATE('29-JAN-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('15:57', 'HH24:MI'), 'ON TIME', 17);
INSERT INTO BUSSCHEDULE VALUES ('SE0058', 'R007', 'D039', 'ILD8716', TO_DATE('29-JAN-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('17:46', 'HH24:MI'), 'ON TIME', 38);
INSERT INTO BUSSCHEDULE VALUES ('SE0059', 'R005', 'D019', 'IDO7977', TO_DATE('29-JAN-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('20:35', 'HH24:MI'), 'DELAYED', 16);
INSERT INTO BUSSCHEDULE VALUES ('SE0060', 'R008', 'D007', 'CGI2532', TO_DATE('29-JAN-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('22:59', 'HH24:MI'), 'ON TIME', 14);
INSERT INTO BUSSCHEDULE VALUES ('SE0061', 'R006', 'D037', 'CJF1753', TO_DATE('30-JAN-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('16:14', 'HH24:MI'), 'ON TIME', 17);
INSERT INTO BUSSCHEDULE VALUES ('SE0062', 'R008', 'D017', 'FCG2912', TO_DATE('31-JAN-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('18:46', 'HH24:MI'), 'DELAYED', 24);
INSERT INTO BUSSCHEDULE VALUES ('SE0063', 'R006', 'D009', 'AOI9521', TO_DATE('31-JAN-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('20:25', 'HH24:MI'), 'ON TIME', 22);
INSERT INTO BUSSCHEDULE VALUES ('SE0064', 'R005', 'D039', 'MKE1591', TO_DATE('31-JAN-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('22:55', 'HH24:MI'), 'ON TIME', 38);
INSERT INTO BUSSCHEDULE VALUES ('SE0065', 'R003', 'D011', 'KJB8298', TO_DATE('31-JAN-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('22:56', 'HH24:MI'), 'ON TIME', 37);
INSERT INTO BUSSCHEDULE VALUES ('SE0066', 'R007', 'D034', 'CIH6968', TO_DATE('01-FEB-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('10:34', 'HH24:MI'), 'ON TIME', 23);
INSERT INTO BUSSCHEDULE VALUES ('SE0067', 'R003', 'D018', 'HBD9947', TO_DATE('01-FEB-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('16:54', 'HH24:MI'), 'ON TIME', 25);
INSERT INTO BUSSCHEDULE VALUES ('SE0068', 'R004', 'D032', 'MKE1591', TO_DATE('01-FEB-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('18:13', 'HH24:MI'), 'DELAYED', 36);
INSERT INTO BUSSCHEDULE VALUES ('SE0069', 'R002', 'D027', 'HBD9947', TO_DATE('01-FEB-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('22:43', 'HH24:MI'), 'ON TIME', 23);
INSERT INTO BUSSCHEDULE VALUES ('SE0070', 'R003', 'D031', 'FBG6123', TO_DATE('02-FEB-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('17:25', 'HH24:MI'), 'DELAYED', 23);
INSERT INTO BUSSCHEDULE VALUES ('SE0071', 'R009', 'D008', 'CIH6968', TO_DATE('02-FEB-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('21:22', 'HH24:MI'), 'ON TIME', 18);
INSERT INTO BUSSCHEDULE VALUES ('SE0072', 'R004', 'D013', 'LHI8711', TO_DATE('02-FEB-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('22:50', 'HH24:MI'), 'ON TIME', 21);
INSERT INTO BUSSCHEDULE VALUES ('SE0073', 'R005', 'D005', 'FGD4177', TO_DATE('02-FEB-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('22:50', 'HH24:MI'), 'ON TIME', 21);
INSERT INTO BUSSCHEDULE VALUES ('SE0074', 'R002', 'D016', 'LHI8711', TO_DATE('04-FEB-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('19:51', 'HH24:MI'), 'ON TIME', 15);
INSERT INTO BUSSCHEDULE VALUES ('SE0075', 'R001', 'D002', 'ELJ4854', TO_DATE('04-FEB-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('21:57', 'HH24:MI'), 'DELAYED', 33);
INSERT INTO BUSSCHEDULE VALUES ('SE0076', 'R003', 'D031', 'GIH5437', TO_DATE('05-FEB-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('21:16', 'HH24:MI'), 'ON TIME', 23);
INSERT INTO BUSSCHEDULE VALUES ('SE0077', 'R005', 'D018', 'CIH6968', TO_DATE('06-FEB-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('11:18', 'HH24:MI'), 'CANCELLED', 25);
INSERT INTO BUSSCHEDULE VALUES ('SE0078', 'R003', 'D024', 'KOE8352', TO_DATE('06-FEB-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('21:19', 'HH24:MI'), 'ON TIME', 23);
INSERT INTO BUSSCHEDULE VALUES ('SE0079', 'R005', 'D037', 'OHI2258', TO_DATE('06-FEB-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('21:41', 'HH24:MI'), 'DELAYED', 17);
INSERT INTO BUSSCHEDULE VALUES ('SE0080', 'R007', 'D034', 'JLG8441', TO_DATE('06-FEB-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('22:11', 'HH24:MI'), 'DELAYED', 20);
INSERT INTO BUSSCHEDULE VALUES ('SE0081', 'R009', 'D015', 'FCG2912', TO_DATE('07-FEB-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('11:52', 'HH24:MI'), 'ON TIME', 22);
INSERT INTO BUSSCHEDULE VALUES ('SE0082', 'R001', 'D036', 'GIH5437', TO_DATE('07-FEB-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('11:53', 'HH24:MI'), 'ON TIME', 26);
INSERT INTO BUSSCHEDULE VALUES ('SE0083', 'R006', 'D028', 'FCG2912', TO_DATE('07-FEB-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('18:28', 'HH24:MI'), 'DELAYED', 29);
INSERT INTO BUSSCHEDULE VALUES ('SE0084', 'R006', 'D027', 'HBD9947', TO_DATE('08-FEB-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('12:58', 'HH24:MI'), 'ON TIME', 22);
INSERT INTO BUSSCHEDULE VALUES ('SE0085', 'R002', 'D004', 'JLG8441', TO_DATE('08-FEB-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('17:43', 'HH24:MI'), 'ON TIME', 14);
INSERT INTO BUSSCHEDULE VALUES ('SE0086', 'R010', 'D040', 'CIH6968', TO_DATE('08-FEB-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('19:53', 'HH24:MI'), 'ON TIME', 21);
INSERT INTO BUSSCHEDULE VALUES ('SE0087', 'R003', 'D033', 'JLG8441', TO_DATE('09-FEB-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('22:10', 'HH24:MI'), 'ON TIME', 14);
INSERT INTO BUSSCHEDULE VALUES ('SE0088', 'R007', 'D015', 'EAK2589', TO_DATE('09-FEB-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('22:13', 'HH24:MI'), 'DELAYED', 28);
INSERT INTO BUSSCHEDULE VALUES ('SE0089', 'R003', 'D021', 'HBD9947', TO_DATE('09-FEB-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('22:19', 'HH24:MI'), 'ON TIME', 29);
INSERT INTO BUSSCHEDULE VALUES ('SE0090', 'R006', 'D006', 'HNF8387', TO_DATE('09-FEB-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('22:39', 'HH24:MI'), 'ON TIME', 24);
INSERT INTO BUSSCHEDULE VALUES ('SE0091', 'R001', 'D015', 'HBD9947', TO_DATE('10-FEB-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('14:22', 'HH24:MI'), 'ON TIME', 22);
INSERT INTO BUSSCHEDULE VALUES ('SE0092', 'R006', 'D021', 'CJF1753', TO_DATE('11-FEB-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('11:20', 'HH24:MI'), 'ON TIME', 15);
INSERT INTO BUSSCHEDULE VALUES ('SE0093', 'R003', 'D027', 'FCG2912', TO_DATE('12-FEB-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('16:54', 'HH24:MI'), 'ON TIME', 25);
INSERT INTO BUSSCHEDULE VALUES ('SE0094', 'R005', 'D001', 'KLM1684', TO_DATE('12-FEB-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('17:25', 'HH24:MI'), 'ON TIME', 21);
INSERT INTO BUSSCHEDULE VALUES ('SE0095', 'R008', 'D016', 'FGD4177', TO_DATE('13-FEB-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('13:22', 'HH24:MI'), 'DELAYED', 24);
INSERT INTO BUSSCHEDULE VALUES ('SE0096', 'R010', 'D020', 'GIH5437', TO_DATE('14-FEB-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('11:16', 'HH24:MI'), 'ON TIME', 28);
INSERT INTO BUSSCHEDULE VALUES ('SE0097', 'R008', 'D016', 'ILD8716', TO_DATE('15-FEB-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('21:24', 'HH24:MI'), 'DELAYED', 36);
INSERT INTO BUSSCHEDULE VALUES ('SE0098', 'R005', 'D020', 'BAJ1333', TO_DATE('15-FEB-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('21:42', 'HH24:MI'), 'ON TIME', 36);
INSERT INTO BUSSCHEDULE VALUES ('SE0099', 'R002', 'D010', 'HGG3653', TO_DATE('15-FEB-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('21:56', 'HH24:MI'), 'ON TIME', 18);
INSERT INTO BUSSCHEDULE VALUES ('SE0100', 'R009', 'D026', 'KOE8352', TO_DATE('15-FEB-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('22:29', 'HH24:MI'), 'ON TIME', 24);
INSERT INTO BUSSCHEDULE VALUES ('SE0101', 'R006', 'D030', 'CIH6968', TO_DATE('16-FEB-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('10:53', 'HH24:MI'), 'ON TIME', 17);
INSERT INTO BUSSCHEDULE VALUES ('SE0102', 'R007', 'D032', 'IDO7977', TO_DATE('16-FEB-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('22:15', 'HH24:MI'), 'ON TIME', 12);
INSERT INTO BUSSCHEDULE VALUES ('SE0103', 'R009', 'D037', 'CIH6968', TO_DATE('16-FEB-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('22:26', 'HH24:MI'), 'ON TIME', 16);
INSERT INTO BUSSCHEDULE VALUES ('SE0104', 'R008', 'D010', 'FMA5211', TO_DATE('17-FEB-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('12:55', 'HH24:MI'), 'ON TIME', 17);
INSERT INTO BUSSCHEDULE VALUES ('SE0105', 'R006', 'D001', 'KCD9945', TO_DATE('17-FEB-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('22:16', 'HH24:MI'), 'CANCELLED', 20);
INSERT INTO BUSSCHEDULE VALUES ('SE0106', 'R006', 'D027', 'GIH5437', TO_DATE('19-FEB-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('20:37', 'HH24:MI'), 'ON TIME', 23);
INSERT INTO BUSSCHEDULE VALUES ('SE0107', 'R008', 'D031', 'BCN4749', TO_DATE('19-FEB-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('20:42', 'HH24:MI'), 'ON TIME', 16);
INSERT INTO BUSSCHEDULE VALUES ('SE0108', 'R001', 'D028', 'FBG6123', TO_DATE('19-FEB-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('22:18', 'HH24:MI'), 'ON TIME', 16);
INSERT INTO BUSSCHEDULE VALUES ('SE0109', 'R007', 'D004', 'ILD8716', TO_DATE('19-FEB-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('22:49', 'HH24:MI'), 'ON TIME', 36);
INSERT INTO BUSSCHEDULE VALUES ('SE0110', 'R006', 'D039', 'FCG2912', TO_DATE('20-FEB-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('12:44', 'HH24:MI'), 'DELAYED', 26);
INSERT INTO BUSSCHEDULE VALUES ('SE0111', 'R007', 'D011', 'CJF1753', TO_DATE('20-FEB-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('17:34', 'HH24:MI'), 'ON TIME', 22);
INSERT INTO BUSSCHEDULE VALUES ('SE0112', 'R005', 'D013', 'LOG2731', TO_DATE('21-FEB-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('11:41', 'HH24:MI'), 'ON TIME', 35);
INSERT INTO BUSSCHEDULE VALUES ('SE0113', 'R010', 'D038', 'LHI8711', TO_DATE('21-FEB-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('12:16', 'HH24:MI'), 'ON TIME', 23);
INSERT INTO BUSSCHEDULE VALUES ('SE0114', 'R005', 'D004', 'KJB8298', TO_DATE('23-FEB-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('10:50', 'HH24:MI'), 'DELAYED', 31);
INSERT INTO BUSSCHEDULE VALUES ('SE0115', 'R003', 'D014', 'HLL5666', TO_DATE('23-FEB-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('22:41', 'HH24:MI'), 'ON TIME', 36);
INSERT INTO BUSSCHEDULE VALUES ('SE0116', 'R007', 'D016', 'IDO7977', TO_DATE('24-FEB-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('11:56', 'HH24:MI'), 'ON TIME', 9);
INSERT INTO BUSSCHEDULE VALUES ('SE0117', 'R009', 'D024', 'JKE9495', TO_DATE('25-FEB-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('22:49', 'HH24:MI'), 'ON TIME', 19);
INSERT INTO BUSSCHEDULE VALUES ('SE0118', 'R001', 'D024', 'GIH5437', TO_DATE('27-FEB-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('13:33', 'HH24:MI'), 'ON TIME', 23);
INSERT INTO BUSSCHEDULE VALUES ('SE0119', 'R007', 'D013', 'KCD9945', TO_DATE('27-FEB-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('15:18', 'HH24:MI'), 'ON TIME', 17);
INSERT INTO BUSSCHEDULE VALUES ('SE0120', 'R002', 'D016', 'LHI8711', TO_DATE('27-FEB-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('16:24', 'HH24:MI'), 'ON TIME', 13);
INSERT INTO BUSSCHEDULE VALUES ('SE0121', 'R008', 'D010', 'AOI9521', TO_DATE('28-FEB-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('19:46', 'HH24:MI'), 'ON TIME', 15);
