INSERT INTO TRANSACTION VALUES ('T00001', 'M1416', TO_DATE('01-Dec-2017', 'DD/MM/YYYY'), 49.4, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T00052', 'M0465', TO_DATE('04-Dec-2017', 'DD/MM/YYYY'), 64.4, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T00053', 'M1146', TO_DATE('04-Dec-2017', 'DD/MM/YYYY'), 96.3, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T00054', 'M0427', TO_DATE('04-Dec-2017', 'DD/MM/YYYY'), 27.7, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T00055', 'M1371', TO_DATE('04-Dec-2017', 'DD/MM/YYYY'), 55.9, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T00056', 'M0283', TO_DATE('04-Dec-2017', 'DD/MM/YYYY'), 148.2, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T00057', 'M1024', TO_DATE('04-Dec-2017', 'DD/MM/YYYY'), 84.3, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T00058', 'M0409', TO_DATE('04-Dec-2017', 'DD/MM/YYYY'), 177.7, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T00059', 'M1230', TO_DATE('04-Dec-2017', 'DD/MM/YYYY'), 167.6, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T00060', 'M0495', TO_DATE('04-Dec-2017', 'DD/MM/YYYY'), 10.3, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T00061', 'M1406', TO_DATE('04-Dec-2017', 'DD/MM/YYYY'), 80.8, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T00062', 'M0635', TO_DATE('04-Dec-2017', 'DD/MM/YYYY'), 10.4, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T00063', 'M0278', TO_DATE('04-Dec-2017', 'DD/MM/YYYY'), 33.7, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T00064', 'M0622', TO_DATE('04-Dec-2017', 'DD/MM/YYYY'), 94.8, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T00065', 'M0283', TO_DATE('04-Dec-2017', 'DD/MM/YYYY'), 48.2, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T00066', 'M1500', TO_DATE('04-Dec-2017', 'DD/MM/YYYY'), 170.5, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T00067', 'M0410', TO_DATE('04-Dec-2017', 'DD/MM/YYYY'), 82.4, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T00068', 'M1081', TO_DATE('04-Dec-2017', 'DD/MM/YYYY'), 29.6, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T00069', 'M1469', TO_DATE('04-Dec-2017', 'DD/MM/YYYY'), 98.6, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T00070', 'M0748', TO_DATE('04-Dec-2017', 'DD/MM/YYYY'), 27.7, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T00071', 'M0610', TO_DATE('04-Dec-2017', 'DD/MM/YYYY'), 43.0, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T00072', 'M0660', TO_DATE('04-Dec-2017', 'DD/MM/YYYY'), 32.4, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T00073', 'M1439', TO_DATE('04-Dec-2017', 'DD/MM/YYYY'), 51.0, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T00074', 'M0898', TO_DATE('04-Dec-2017', 'DD/MM/YYYY'), 16.6, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T00075', 'M1305', TO_DATE('04-Dec-2017', 'DD/MM/YYYY'), 115.7, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T00076', 'M1120', TO_DATE('04-Dec-2017', 'DD/MM/YYYY'), 10.3, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T00077', 'M0519', TO_DATE('04-Dec-2017', 'DD/MM/YYYY'), 61.6, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T00078', 'M1406', TO_DATE('04-Dec-2017', 'DD/MM/YYYY'), 10.3, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T00079', 'M0776', TO_DATE('04-Dec-2017', 'DD/MM/YYYY'), 59.9, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T00080', 'M0030', TO_DATE('04-Dec-2017', 'DD/MM/YYYY'), 77.6, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T00081', 'M0979', TO_DATE('04-Dec-2017', 'DD/MM/YYYY'), 156.9, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T00082', 'M0781', TO_DATE('04-Dec-2017', 'DD/MM/YYYY'), 32.4, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T00083', 'M0452', TO_DATE('04-Dec-2017', 'DD/MM/YYYY'), 21.2, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T00084', 'M1374', TO_DATE('04-Dec-2017', 'DD/MM/YYYY'), 47.0, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T00085', 'M0277', TO_DATE('04-Dec-2017', 'DD/MM/YYYY'), 63.6, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T00086', 'M0310', TO_DATE('04-Dec-2017', 'DD/MM/YYYY'), 34.6, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T00087', 'M0909', TO_DATE('04-Dec-2017', 'DD/MM/YYYY'), 38.4, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T00088', 'M0307', TO_DATE('04-Dec-2017', 'DD/MM/YYYY'), 98.1, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T00089', 'M0203', TO_DATE('04-Dec-2017', 'DD/MM/YYYY'), 73.2, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T00090', 'M1095', TO_DATE('04-Dec-2017', 'DD/MM/YYYY'), 52.5, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T00091', 'M0150', TO_DATE('04-Dec-2017', 'DD/MM/YYYY'), 70.3, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T00092', 'M1260', TO_DATE('04-Dec-2017', 'DD/MM/YYYY'), 117.9, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T00093', 'M1133', TO_DATE('04-Dec-2017', 'DD/MM/YYYY'), 23.8, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T00094', 'M1084', TO_DATE('04-Dec-2017', 'DD/MM/YYYY'), 80.3, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T00095', 'M0268', TO_DATE('04-Dec-2017', 'DD/MM/YYYY'), 83.9, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T00096', 'M1029', TO_DATE('04-Dec-2017', 'DD/MM/YYYY'), 82.7, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T00097', 'M0242', TO_DATE('04-Dec-2017', 'DD/MM/YYYY'), 85.6, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T00098', 'M0309', TO_DATE('04-Dec-2017', 'DD/MM/YYYY'), 69.3, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T00099', 'M0797', TO_DATE('04-Dec-2017', 'DD/MM/YYYY'), 26.3, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T00100', 'M0463', TO_DATE('04-Dec-2017', 'DD/MM/YYYY'), 23.3, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T00101', 'M0448', TO_DATE('04-Dec-2017', 'DD/MM/YYYY'), 26.3, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T00102', 'M0965', TO_DATE('04-Dec-2017', 'DD/MM/YYYY'), 125.8, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T00103', 'M0716', TO_DATE('04-Dec-2017', 'DD/MM/YYYY'), 87.7, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T00104', 'M0271', TO_DATE('04-Dec-2017', 'DD/MM/YYYY'), 26.3, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T00105', 'M0753', TO_DATE('04-Dec-2017', 'DD/MM/YYYY'), 32.4, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T00106', 'M0773', TO_DATE('04-Dec-2017', 'DD/MM/YYYY'), 45.5, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T00107', 'M0575', TO_DATE('04-Dec-2017', 'DD/MM/YYYY'), 16.6, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T00108', 'M0558', TO_DATE('04-Dec-2017', 'DD/MM/YYYY'), 69.9, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T00109', 'M0601', TO_DATE('04-Dec-2017', 'DD/MM/YYYY'), 47.8, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T00110', 'M0267', TO_DATE('04-Dec-2017', 'DD/MM/YYYY'), 42.3, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T00111', 'M1154', TO_DATE('04-Dec-2017', 'DD/MM/YYYY'), 36.0, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T00112', 'M0426', TO_DATE('04-Dec-2017', 'DD/MM/YYYY'), 58.1, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T00113', 'M0110', TO_DATE('04-Dec-2017', 'DD/MM/YYYY'), 41.7, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T00114', 'M1370', TO_DATE('04-Dec-2017', 'DD/MM/YYYY'), 42.7, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T00115', 'M0867', TO_DATE('04-Dec-2017', 'DD/MM/YYYY'), 53.6, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T00116', 'M1308', TO_DATE('04-Dec-2017', 'DD/MM/YYYY'), 90.7, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T00117', 'M1399', TO_DATE('04-Dec-2017', 'DD/MM/YYYY'), 70.7, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T00118', 'M1085', TO_DATE('04-Dec-2017', 'DD/MM/YYYY'), 21.8, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T00119', 'M0435', TO_DATE('04-Dec-2017', 'DD/MM/YYYY'), 47.0, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T00120', 'M0965', TO_DATE('04-Dec-2017', 'DD/MM/YYYY'), 49.6, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T00121', 'M0031', TO_DATE('04-Dec-2017', 'DD/MM/YYYY'), 11.4, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T00122', 'M1301', TO_DATE('04-Dec-2017', 'DD/MM/YYYY'), 123.3, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T00123', 'M0735', TO_DATE('04-Dec-2017', 'DD/MM/YYYY'), 132.8, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T00124', 'M0812', TO_DATE('04-Dec-2017', 'DD/MM/YYYY'), 134.7, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T00125', 'M0891', TO_DATE('04-Dec-2017', 'DD/MM/YYYY'), 129.3, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T00126', 'M0473', TO_DATE('04-Dec-2017', 'DD/MM/YYYY'), 58.1, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T00127', 'M0768', TO_DATE('04-Dec-2017', 'DD/MM/YYYY'), 42.4, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T00128', 'M0892', TO_DATE('04-Dec-2017', 'DD/MM/YYYY'), 37.3, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T00129', 'M0290', TO_DATE('04-Dec-2017', 'DD/MM/YYYY'), 103.2, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T00130', 'M0320', TO_DATE('04-Dec-2017', 'DD/MM/YYYY'), 23.8, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T00131', 'M0275', TO_DATE('04-Dec-2017', 'DD/MM/YYYY'), 31.3, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T00132', 'M1416', TO_DATE('04-Dec-2017', 'DD/MM/YYYY'), 48.6, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T00133', 'M0702', TO_DATE('04-Dec-2017', 'DD/MM/YYYY'), 130.6, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T00134', 'M1487', TO_DATE('04-Dec-2017', 'DD/MM/YYYY'), 71.6, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T00135', 'M1319', TO_DATE('04-Dec-2017', 'DD/MM/YYYY'), 55.1, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T00136', 'M0937', TO_DATE('04-Dec-2017', 'DD/MM/YYYY'), 87.4, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T00137', 'M0697', TO_DATE('04-Dec-2017', 'DD/MM/YYYY'), 65.2, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T00138', 'M1480', TO_DATE('04-Dec-2017', 'DD/MM/YYYY'), 61.7, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T00139', 'M1053', TO_DATE('04-Dec-2017', 'DD/MM/YYYY'), 27.7, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T00140', 'M0869', TO_DATE('04-Dec-2017', 'DD/MM/YYYY'), 115.7, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T00141', 'M0414', TO_DATE('04-Dec-2017', 'DD/MM/YYYY'), 74.6, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T00142', 'M1194', TO_DATE('04-Dec-2017', 'DD/MM/YYYY'), 82.5, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T00143', 'M0375', TO_DATE('04-Dec-2017', 'DD/MM/YYYY'), 68.9, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T00144', 'M0495', TO_DATE('04-Dec-2017', 'DD/MM/YYYY'), 46.0, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T00145', 'M0925', TO_DATE('04-Dec-2017', 'DD/MM/YYYY'), 104.2, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T00146', 'M0441', TO_DATE('04-Dec-2017', 'DD/MM/YYYY'), 32.4, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T00147', 'M0027', TO_DATE('04-Dec-2017', 'DD/MM/YYYY'), 43.6, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T00148', 'M0712', TO_DATE('04-Dec-2017', 'DD/MM/YYYY'), 87.7, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T00149', 'M0633', TO_DATE('04-Dec-2017', 'DD/MM/YYYY'), 25.7, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T00150', 'M1342', TO_DATE('04-Dec-2017', 'DD/MM/YYYY'), 102.7, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T00151', 'M1086', TO_DATE('05-Dec-2017', 'DD/MM/YYYY'), 48.4, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T00152', 'M0971', TO_DATE('05-Dec-2017', 'DD/MM/YYYY'), 11.4, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T00153', 'M0775', TO_DATE('05-Dec-2017', 'DD/MM/YYYY'), 127.1, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T00154', 'M0403', TO_DATE('05-Dec-2017', 'DD/MM/YYYY'), 15.9, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T00155', 'M0710', TO_DATE('05-Dec-2017', 'DD/MM/YYYY'), 146.9, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T00156', 'M1147', TO_DATE('05-Dec-2017', 'DD/MM/YYYY'), 63.6, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T00157', 'M0095', TO_DATE('05-Dec-2017', 'DD/MM/YYYY'), 82.4, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T00158', 'M0693', TO_DATE('05-Dec-2017', 'DD/MM/YYYY'), 25.7, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T00159', 'M0550', TO_DATE('05-Dec-2017', 'DD/MM/YYYY'), 24.8, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T00160', 'M1452', TO_DATE('06-Dec-2017', 'DD/MM/YYYY'), 134.7, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T00161', 'M0068', TO_DATE('06-Dec-2017', 'DD/MM/YYYY'), 21.2, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T00162', 'M0217', TO_DATE('06-Dec-2017', 'DD/MM/YYYY'), 91.0, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T00163', 'M0348', TO_DATE('06-Dec-2017', 'DD/MM/YYYY'), 27.7, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T00164', 'M1394', TO_DATE('06-Dec-2017', 'DD/MM/YYYY'), 49.4, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T00165', 'M1447', TO_DATE('06-Dec-2017', 'DD/MM/YYYY'), 45.5, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T00166', 'M1009', TO_DATE('06-Dec-2017', 'DD/MM/YYYY'), 103.8, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T00167', 'M0615', TO_DATE('06-Dec-2017', 'DD/MM/YYYY'), 31.8, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T00168', 'M0483', TO_DATE('06-Dec-2017', 'DD/MM/YYYY'), 109.2, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T00169', 'M1123', TO_DATE('06-Dec-2017', 'DD/MM/YYYY'), 25.7, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T00170', 'M0908', TO_DATE('06-Dec-2017', 'DD/MM/YYYY'), 18.2, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T00171', 'M0214', TO_DATE('06-Dec-2017', 'DD/MM/YYYY'), 34.6, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T00172', 'M1360', TO_DATE('06-Dec-2017', 'DD/MM/YYYY'), 43.0, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T00173', 'M0416', TO_DATE('06-Dec-2017', 'DD/MM/YYYY'), 97.2, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T00174', 'M1093', TO_DATE('06-Dec-2017', 'DD/MM/YYYY'), 50.5, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T00175', 'M0527', TO_DATE('06-Dec-2017', 'DD/MM/YYYY'), 100.1, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T00176', 'M0637', TO_DATE('06-Dec-2017', 'DD/MM/YYYY'), 45.5, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T00177', 'M0024', TO_DATE('06-Dec-2017', 'DD/MM/YYYY'), 61.4, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T00178', 'M1498', TO_DATE('06-Dec-2017', 'DD/MM/YYYY'), 179.1, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T00179', 'M0638', TO_DATE('06-Dec-2017', 'DD/MM/YYYY'), 113.6, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T00180', 'M0203', TO_DATE('07-Dec-2017', 'DD/MM/YYYY'), 77.3, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T00181', 'M0891', TO_DATE('07-Dec-2017', 'DD/MM/YYYY'), 108.8, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T00182', 'M1289', TO_DATE('07-Dec-2017', 'DD/MM/YYYY'), 10.3, 'Online Banking');
